Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Login_Valid/Page_Accounts/span_Lanjut""))",Chrome 97.0.4692.99,,,2022-02-02 14:00:43,2022-02-02 14:00:43,0.452s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_Valid/Page_Accounts/input_Lanjut_Password""), ""tzH6RvlfSTg="")",Chrome 97.0.4692.99,,,2022-02-02 14:00:43,2022-02-02 14:00:44,0.726s,PASSED
"click(findTestObject(""Login_Valid/Page_Accounts/button_Login""))",Chrome 97.0.4692.99,,,2022-02-02 14:00:44,2022-02-02 14:00:45,0.412s,PASSED
"verifyElementText(findTestObject(""Notifikasi_Login/p_Password yang kamu masukkan salah. Silakan coba lagi""), ""Password yang kamu masukkan salah. Silakan coba lagi."")",Chrome 97.0.4692.99,,,2022-02-02 14:00:45,2022-02-02 14:00:45,0.817s,PASSED
takeScreenshot(),Chrome 97.0.4692.99,,,2022-02-02 14:00:45,2022-02-02 14:00:46,0.375s,PASSED
,,,,,,,
Test Cases/Bukalapak/Login_Invalid/pwd_null,Chrome 97.0.4692.99,,,2022-02-02 14:00:46,2022-02-02 14:01:07,21.166s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-02 14:00:46,2022-02-02 14:00:49,2.563s,PASSED
"navigateToUrl(""https://www.bukalapak.com/"")",Chrome 97.0.4692.99,,,2022-02-02 14:00:49,2022-02-02 14:00:57,8.029s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Situs Belanja Online dan Jual Beli Mud_3c8940/p_Login""))",Chrome 97.0.4692.99,,,2022-02-02 14:00:57,2022-02-02 14:01:01,4.358s,PASSED
"setText(findTestObject(""Object Repository/Login_Valid/Page_Accounts/input_Nomor handphone atau email_LoginID""), ""testqatinton@gmail.com"")",Chrome 97.0.4692.99,,,2022-02-02 14:01:01,2022-02-02 14:01:04,3.137s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Accounts/span_Lanjut""))",Chrome 97.0.4692.99,,,2022-02-02 14:01:04,2022-02-02 14:01:05,0.439s,PASSED
"setText(findTestObject(""Object Repository/Login_Valid/Page_Accounts/input_Lanjut_Password""), """")",Chrome 97.0.4692.99,,,2022-02-02 14:01:05,2022-02-02 14:01:06,0.976s,PASSED
"click(findTestObject(""Login_Valid/Page_Accounts/button_Login""))",Chrome 97.0.4692.99,,,2022-02-02 14:01:06,2022-02-02 14:01:06,0.399s,PASSED
"verifyElementText(findTestObject(""Notifikasi_Login/p_Password wajib diisi, ya""), ""Password wajib diisi, ya."")",Chrome 97.0.4692.99,,,2022-02-02 14:01:06,2022-02-02 14:01:07,0.475s,PASSED
takeScreenshot(),Chrome 97.0.4692.99,,,2022-02-02 14:01:07,2022-02-02 14:01:07,0.383s,PASSED
